block,practice,trial,change_interval_s,change_interval_frames,taps_start_time_during_fix,taps_end_time_during_fix,taps_start_loc_during_fix,taps_end_loc_during_fix,taps_on_lever_during_fix,taps_on_lever_frame_during_fix,taps_on_lever_s_during_fix,fix_xy,bar_orientation,target_xy,rt,acc
1,True,1,0.479,28,[],[],"[(1131, 861)]",[],[1],[69],[1.15],"[640.0, 512.0]",horizontal,"(890.0, 262.0)",0,1
1,True,2,0.306,18,[],[],"[(1125, 876)]",[],[1],[68],[1.1333333333333333],"[640.0, 512.0]",horizontal,"(390.0, 762.0)",0,0
1,True,3,1.338,80,[],[],"[(1137, 892)]",[],[1],[107],[1.7833333333333332],"[640.0, 512.0]",vertical,"(890.0, 262.0)",0,1
1,True,4,1.257,75,[],[],"[(1156, 914)]",[],[1],[98],[1.6333333333333333],"[640.0, 512.0]",horizontal,"(890.0, 762.0)",0,1
1,False,1,0.842,50,[],[],"[(1124, 896)]",[],[1],[78],[1.3],"[640.0, 512.0]",vertical,"(890.0, 262.0)",0,1
1,False,2,1.492,89,[],[],"[(1105, 906)]",[],[1],[102],[1.7],"[640.0, 512.0]",horizontal,"(890.0, 762.0)",0,1
1,False,3,0.744,44,[],[],"[(1121, 879)]",[],[1],[70],[1.1666666666666667],"[640.0, 512.0]",horizontal,"(890.0, 762.0)",0,1
1,False,4,0.842,50,[],[],"[(1124, 861)]",[],[1],[64],[1.0666666666666667],"[640.0, 512.0]",horizontal,"(890.0, 262.0)",0,1
1,False,5,0.676,40,[],[],"[(1105, 899)]",[],[1],[69],[1.15],"[640.0, 512.0]",vertical,"(390.0, 262.0)",0,1
1,False,6,0.832,49,[],[],"[(1130, 911)]",[],[1],[77],[1.2833333333333332],"[640.0, 512.0]",vertical,"(890.0, 262.0)",0,1
1,False,7,1.446,86,[],[],"[(1105, 885)]",[],[1],[117],[1.95],"[640.0, 512.0]",horizontal,"(890.0, 762.0)",0,1
1,False,8,0.831,49,[],[],"[(1140, 880)]",[],[1],[67],[1.1166666666666667],"[640.0, 512.0]",vertical,"(390.0, 262.0)",0,1
1,False,9,0.726,43,[],[],"[(1122, 897)]",[],[1],[69],[1.15],"[640.0, 512.0]",horizontal,"(390.0, 762.0)",0,1
1,False,10,0.373,22,[],[],"[(1141, 921)]",[],[1],[52],[0.8666666666666667],"[640.0, 512.0]",vertical,"(890.0, 762.0)",0,1
1,False,11,1.406,84,[],[],"[(1139, 883)]",[],[1],[111],[1.8499999999999999],"[640.0, 512.0]",vertical,"(890.0, 262.0)",0,1
1,False,12,1.34,80,[],[],"[(1149, 919)]",[],[1],[104],[1.7333333333333334],"[640.0, 512.0]",vertical,"(390.0, 762.0)",0,1
1,False,13,1.157,69,[],[],"[(1124, 903)]",[],[1],[91],[1.5166666666666666],"[640.0, 512.0]",horizontal,"(390.0, 262.0)",0,1
1,False,14,1.276,76,[],[],"[(1142, 897)]",[],[1],[112],[1.8666666666666667],"[640.0, 512.0]",horizontal,"(390.0, 762.0)",0,1
1,False,15,0.593,35,[],[],"[(1121, 890)]",[],[1],[67],[1.1166666666666667],"[640.0, 512.0]",vertical,"(890.0, 762.0)",0,1
1,False,16,1.387,83,[],[],"[(1158, 903)]",[],[1],[117],[1.95],"[640.0, 512.0]",vertical,"(890.0, 262.0)",0,1
1,False,17,0.821,49,[],[],"[(1130, 919)]",[],[1],[77],[1.2833333333333332],"[640.0, 512.0]",horizontal,"(390.0, 762.0)",0,1
1,False,18,0.65,39,[],[],"[(1134, 920)]",[],[1],[67],[1.1166666666666667],"[640.0, 512.0]",vertical,"(890.0, 762.0)",0,1
1,False,19,1.475,88,[],[],"[(1162, 928)]",[],[1],[119],[1.9833333333333334],"[640.0, 512.0]",horizontal,"(390.0, 762.0)",0,1
1,False,20,1.402,84,[],[],"[(1159, 902)]",[],[1],[127],[2.1166666666666667],"[640.0, 512.0]",vertical,"(890.0, 262.0)",0,1
1,False,21,0.683,40,[],[],"[(1130, 936)]",[],[1],[71],[1.1833333333333333],"[640.0, 512.0]",vertical,"(390.0, 262.0)",0,1
1,False,22,0.71,42,[],[],"[(1153, 886)]",[],[1],[66],[1.1],"[640.0, 512.0]",horizontal,"(890.0, 262.0)",0,1
1,False,23,1.278,76,[],[],"[(1159, 903)]",[],[1],[102],[1.7],"[640.0, 512.0]",horizontal,"(890.0, 762.0)",0,1
1,False,24,0.426,25,[],[],"[(1146, 917)]",[],[1],[71],[1.1833333333333333],"[640.0, 512.0]",horizontal,"(390.0, 762.0)",0,1
1,False,25,0.758,45,[],[],"[(1159, 915)]",[],[1],[51],[0.85],"[640.0, 512.0]",horizontal,"(390.0, 762.0)",0,1
1,False,26,1.046,62,[],[],"[(1126, 904)]",[],[1],[84],[1.4],"[640.0, 512.0]",vertical,"(390.0, 762.0)",0,1
1,False,27,0.98,58,[],[185661],"[(1162, 933)]","[(1174, 919)]",[1],[52],[0.8666666666666667],"[640.0, 512.0]",horizontal,"(390.0, 762.0)",0,0
1,False,28,0.956,57,[],[],"[(1131, 935)]",[],[1],[84],[1.4],"[640.0, 512.0]",vertical,"(890.0, 262.0)",0,1
1,False,29,1.439,86,[],[],"[(1147, 880)]",[],[1],[117],[1.95],"[640.0, 512.0]",horizontal,"(890.0, 262.0)",0,1
1,False,30,0.891,53,[],[],"[(1152, 898)]",[],[1],[81],[1.35],"[640.0, 512.0]",horizontal,"(890.0, 262.0)",0,1
1,False,31,0.972,58,[],[197041],"[(1155, 905)]","[(1155, 905)]",[1],[4],[0.06666666666666667],"[640.0, 512.0]",vertical,"(390.0, 762.0)",0,0
1,False,32,0.867,52,[],[],"[(1148, 884)]",[],[1],[86],[1.4333333333333333],"[640.0, 512.0]",horizontal,"(890.0, 762.0)",0,1
1,False,33,1.413,84,[],[],"[(1142, 910)]",[],[1],[124],[2.0666666666666664],"[640.0, 512.0]",horizontal,"(390.0, 762.0)",0,1
