block,practice,trial,change_interval_s,change_interval_frames,taps_start_time_during_fix,taps_end_time_during_fix,taps_start_loc_during_fix,taps_end_loc_during_fix,taps_on_lever_during_fix,taps_on_lever_frame_during_fix,taps_on_lever_s_during_fix,fix_xy,bar_orientation,target_xy,rt,acc,time
1,True,1,1.163,69,[],[],"[(1121, 868)]",[],[1],[90],[1.5],"[640.0, 512.0]",vertical,"(390.0, 262.0)",[0.328],1,0.32
1,True,2,0.747,44,[],[29195],"[(1121, 879)]","[(1121, 879)]",[1],[21],[0.35],"[640.0, 512.0]",horizontal,"(390.0, 262.0)",[0],0,6.539
1,True,3,1.095,65,[],[],"[(1121, 834)]",[],[1],[112],[1.8666666666666667],"[640.0, 512.0]",horizontal,"(390.0, 762.0)",[0.752],1,10.476
1,True,4,1.161,69,[],[],"[(1100, 873)]",[],[1],[106],[1.7666666666666666],"[640.0, 512.0]",vertical,"(390.0, 762.0)",[0.588],1,19.958
1,False,1,0.979,58,[],[],"[(1185, 877)]",[],[1],[82],[1.3666666666666667],"[640.0, 512.0]",vertical,"(390.0, 262.0)",[0.376],1,50.672
1,False,2,1.012,60,[],[],"[(1126, 848)]",[],[1],[88],[1.4666666666666666],"[640.0, 512.0]",vertical,"(890.0, 762.0)",[0.447],1,53.911
1,False,3,0.752,45,[],[],"[(1165, 888)]",[],[1],[76],[1.2666666666666666],"[640.0, 512.0]",vertical,"(390.0, 762.0)",[0.502],1,58.625
1,False,4,0.589,35,[],[],"[(1194, 967), (234, 971), (8, 547), (6, 401), (33, 186), (38, 1015), (1161, 971), (58, 919), (1171, 858)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 1]",[76],[1.2666666666666666],"[640.0, 512.0]",vertical,"(390.0, 762.0)",[0.658],1,62.794
1,False,5,1.485,89,[],[],"[(1190, 859)]",[],[1],[139],[2.3166666666666664],"[640.0, 512.0]",vertical,"(390.0, 762.0)",[0.806],0,85.509
1,False,6,1.262,75,[],[],"[(1145, 856)]",[],[1],[125],[2.0833333333333335],"[640.0, 512.0]",horizontal,"(890.0, 762.0)",[0.812],0,96.866
1,False,7,1.456,87,[],[],"[(1160, 842)]",[],[1],[117],[1.95],"[640.0, 512.0]",vertical,"(390.0, 262.0)",[0.481],1,101.046
1,False,8,1.15,69,[],[],"[(1126, 839)]",[],[1],[101],[1.6833333333333333],"[640.0, 512.0]",horizontal,"(890.0, 762.0)",[0.503],1,107.122
1,False,9,1.107,66,[],[],"[(1135, 859)]",[],[1],[92],[1.5333333333333332],"[640.0, 512.0]",horizontal,"(890.0, 262.0)",[0.411],1,110.848
1,False,10,0.66,39,[],[],"[(1137, 843)]",[],[1],[89],[1.4833333333333334],"[640.0, 512.0]",horizontal,"(890.0, 762.0)",[0.808],0,113.939
1,False,11,0.774,46,[],[],"[(1099, 865)]",[],[1],[69],[1.15],"[640.0, 512.0]",vertical,"(890.0, 262.0)",[0.364],1,116.993
1,False,12,1.22,73,[],[],"[(1121, 870)]",[],[1],[99],[1.65],"[640.0, 512.0]",horizontal,"(390.0, 262.0)",[0.412],1,120.178
1,False,13,0.506,30,[],[],"[(1121, 867)]",[],[1],[71],[1.1833333333333333],"[640.0, 512.0]",horizontal,"(390.0, 762.0)",[0.661],1,125.271
1,False,14,0.952,57,[],[],"[(1141, 883)]",[],[1],[90],[1.5],"[640.0, 512.0]",horizontal,"(890.0, 762.0)",[0.527],1,127.806
1,False,15,0.508,30,[],[],"[(1126, 844)]",[],[1],[67],[1.1166666666666667],"[640.0, 512.0]",horizontal,"(390.0, 262.0)",[0.592],1,131.71
1,False,16,1.261,75,[],[],"[(1179, 854)]",[],[1],[101],[1.6833333333333333],"[640.0, 512.0]",vertical,"(890.0, 262.0)",[0.409],1,134.481
1,False,17,0.942,56,[],[],"[(1158, 853)]",[],[1],[95],[1.5833333333333333],"[640.0, 512.0]",horizontal,"(890.0, 262.0)",[0.627],1,140.988
1,False,18,1.122,67,[],[],"[(1141, 849)]",[],[1],[91],[1.5166666666666666],"[640.0, 512.0]",vertical,"(390.0, 762.0)",[0.381],1,144.144
1,False,19,1.36,81,[],[],"[(1160, 844)]",[],[1],[106],[1.7666666666666666],"[640.0, 512.0]",vertical,"(890.0, 762.0)",[0.393],1,147.236
1,False,20,0.989,59,[],[],"[(1169, 877)]",[],[1],[88],[1.4666666666666666],"[640.0, 512.0]",vertical,"(390.0, 262.0)",[0.458],1,150.536
1,False,21,0.907,54,[],[],"[(1148, 887)]",[],[1],[85],[1.4166666666666667],"[640.0, 512.0]",vertical,"(890.0, 262.0)",[0.493],1,160.472
1,False,22,0.306,18,[],[],"[(1146, 880)]",[],[1],[50],[0.8333333333333334],"[640.0, 512.0]",horizontal,"(390.0, 762.0)",[0.515],1,166.034
1,False,23,0.548,32,[],[],"[(1130, 868)]",[],[1],[68],[1.1333333333333333],"[640.0, 512.0]",horizontal,"(890.0, 262.0)",[0.572],1,184.224
1,False,24,1.286,77,[],[],"[(1121, 844)]",[],[1],[109],[1.8166666666666667],"[640.0, 512.0]",horizontal,"(390.0, 762.0)",[0.509],1,186.704
1,False,25,1.471,88,[],[],"[(1126, 863)]",[],[1],[115],[1.9166666666666667],"[640.0, 512.0]",vertical,"(890.0, 762.0)",[0.425],1,189.799
1,False,26,0.613,36,[],[],"[(1150, 889)]",[],[1],[85],[1.4166666666666667],"[640.0, 512.0]",vertical,"(890.0, 262.0)",[0.794],1,192.98
