block,practice,trial,change_interval_s,change_interval_frames,taps_start_time_during_fix,taps_end_time_during_fix,taps_start_loc_during_fix,taps_end_loc_during_fix,taps_on_lever_during_fix,taps_on_lever_frame_during_fix,taps_on_lever_s_during_fix,fix_xy,bar_orientation,target_xy,cti,rt,acc,time
1,True,1,0.647,38,[],[],"[(1138, 842)]",[],[1],[59],[0.9833333333333333],"[640.0, 512.0]",horizontal,"(390.0, 262.0)",[1.25],[0.335],1,0.443
1,True,2,0.849,50,[],[],"[(7, 238), (1172, 878)]",[],"[0, 1]",[100],[1.6666666666666667],"[640.0, 512.0]",vertical,"(390.0, 262.0)",[0.9166666666666666],[0.808],0,9.147
1,True,3,1.373,82,[],[],"[(1170, 868)]",[],[1],[113],[1.8833333333333333],"[640.0, 512.0]",horizontal,"(890.0, 262.0)",[1.6666666666666667],[0.49],1,79.29
1,True,4,1.287,77,[],[],"[(1192, 880)]",[],[1],[127],[2.1166666666666667],"[640.0, 512.0]",vertical,"(390.0, 762.0)",[0.85],[0.802],0,84.355
1,False,1,0.951,57,[],[],"[(1218, 920)]",[],[1],[87],[1.45],"[640.0, 512.0]",horizontal,"(890.0, 262.0)",[1.5],[0.475],1,88.895
1,False,2,1.328,79,[],[],"[(1192, 902)]",[],[1],[114],[1.9],"[640.0, 512.0]",horizontal,"(390.0, 262.0)",[1.4666666666666666],[0.551],1,94.162
1,False,3,1.332,79,[],[],"[(1170, 896)]",[],[1],[129],[2.15],"[640.0, 512.0]",horizontal,"(890.0, 762.0)",[1.0833333333333333],[0.805],0,99.036
1,False,4,1.337,80,[],[],"[(1227, 901)]",[],[1],[116],[1.9333333333333333],"[640.0, 512.0]",horizontal,"(390.0, 262.0)",[1.6833333333333333],[0.588],1,103.831
1,False,5,1.116,66,[],[],"[(1166, 900)]",[],[1],[104],[1.7333333333333334],"[640.0, 512.0]",horizontal,"(390.0, 762.0)",[1.55],[0.618],1,109.294
1,False,6,0.361,21,[],[],"[(1215, 902)]",[],[1],[55],[0.9166666666666666],"[640.0, 512.0]",vertical,"(890.0, 262.0)",[1.5333333333333332],[0.547],1,114.157
1,False,7,0.48,28,[],[],"[(1178, 879)]",[],[1],[78],[1.3],"[640.0, 512.0]",vertical,"(890.0, 762.0)",[1.3333333333333333],[0.814],0,118.13
1,False,8,1.16,69,[],[181498],"[(1122, 875)]","[(1128, 889)]",[1],[33],[0.55],"[640.0, 512.0]",vertical,"(390.0, 262.0)",[],[0],0,122.352
1,False,9,0.836,50,[],[],"[(1252, 890), (1153, 878)]",[],"[0, 1]",[84],[1.4],"[640.0, 512.0]",vertical,"(390.0, 262.0)",[0.8833333333333333],[0.545],1,125.012
1,False,10,0.954,57,[],[],"[(1182, 881)]",[],[1],[102],[1.7],"[640.0, 512.0]",vertical,"(390.0, 762.0)",[0.5],[0.74],1,130.905
1,False,11,0.449,26,[],[],"[(1152, 885)]",[],[1],[61],[1.0166666666666666],"[640.0, 512.0]",horizontal,"(890.0, 262.0)",[1.2833333333333332],[0.565],1,134.733
1,False,12,0.355,21,[],[],"[(1137, 885)]",[],[1],[57],[0.95],"[640.0, 512.0]",vertical,"(390.0, 262.0)",[1.0],[0.577],1,143.524
1,False,13,1.014,60,[],[],"[(1192, 879)]",[],[1],[94],[1.5666666666666667],"[640.0, 512.0]",horizontal,"(390.0, 762.0)",[1.4166666666666667],[0.551],1,147.049
1,False,14,0.887,53,[],[],"[(1164, 891)]",[],[1],[90],[1.5],"[640.0, 512.0]",horizontal,"(890.0, 262.0)",[1.5333333333333332],[0.596],1,151.686
1,False,15,1.065,63,[],[],"[(1172, 880)]",[],[1],[99],[1.65],"[640.0, 512.0]",vertical,"(890.0, 762.0)",[1.1166666666666667],[0.59],1,156.325
1,False,16,1.027,61,[],[],"[(1136, 893)]",[],[1],[95],[1.5833333333333333],"[640.0, 512.0]",horizontal,"(890.0, 262.0)",[0.6833333333333333],[0.55],1,168.824
1,False,17,1.164,69,[],[],"[(1117, 880)]",[],[1],[100],[1.6666666666666667],"[640.0, 512.0]",horizontal,"(890.0, 262.0)",[0.9666666666666667],[0.503],1,172.619
1,False,18,0.67,40,[],[],"[(1111, 882)]",[],[1],[72],[1.2],"[640.0, 512.0]",horizontal,"(390.0, 262.0)",[1.3333333333333333],[0.515],1,176.948
1,False,19,0.486,29,[],[],"[(1162, 881)]",[],[1],[65],[1.0833333333333333],"[640.0, 512.0]",vertical,"(390.0, 762.0)",[0.7333333333333333],[0.581],1,181.049
1,False,20,0.43,25,[],[],"[(1147, 894)]",[],[1],[57],[0.95],"[640.0, 512.0]",vertical,"(890.0, 262.0)",[1.5833333333333333],[0.515],1,184.387
1,False,21,0.847,50,[],[],"[(1141, 889)]",[],[1],[95],[1.5833333333333333],"[640.0, 512.0]",vertical,"(390.0, 762.0)",[1.0666666666666667],[0.729],1,188.512
1,False,22,0.996,59,[],[],"[(1129, 904)]",[],[1],[91],[1.5166666666666666],"[640.0, 512.0]",horizontal,"(890.0, 262.0)",[0.8],[0.518],1,192.734
1,False,23,0.957,57,[],[],"[(1166, 882)]",[],[1],[92],[1.5333333333333332],"[640.0, 512.0]",vertical,"(890.0, 762.0)",[1.3333333333333333],[0.561],1,196.69
1,False,24,0.326,19,[],[],"[(1167, 889)]",[],[1],[54],[0.9],"[640.0, 512.0]",horizontal,"(890.0, 762.0)",[1.6333333333333333],[0.558],1,201.111
1,False,25,0.951,57,[],[],"[(1164, 885)]",[],[1],[93],[1.55],"[640.0, 512.0]",vertical,"(390.0, 762.0)",[0.8],[0.579],1,205.163
1,False,26,0.869,52,[],[],"[(1162, 884)]",[],[1],[90],[1.5],"[640.0, 512.0]",vertical,"(890.0, 262.0)",[1.6666666666666667],[0.614],1,209.03
1,False,27,1.438,86,[],[],"[(1136, 875)]",[],[1],[117],[1.95],"[640.0, 512.0]",horizontal,"(390.0, 262.0)",[0.9],[0.493],1,213.764
1,False,28,1.273,76,[],[],"[(1173, 889)]",[],[1],[109],[1.8166666666666667],"[640.0, 512.0]",horizontal,"(390.0, 762.0)",[1.3666666666666667],[0.521],1,218.096
1,False,29,1.177,70,[],[],"[(1188, 878)]",[],[1],[120],[2.0],"[640.0, 512.0]",horizontal,"(390.0, 262.0)",[1.0833333333333333],[0.805],0,222.779
1,False,30,1.052,63,[],[],"[(1132, 878)]",[],[1],[113],[1.8833333333333333],"[640.0, 512.0]",vertical,"(390.0, 762.0)",[0.6166666666666667],[0.801],0,227.383
1,False,31,1.253,75,[],[],"[(1148, 870)]",[],[1],[111],[1.8499999999999999],"[640.0, 512.0]",vertical,"(390.0, 762.0)",[0.9],[0.578],1,232.242
1,False,32,1.161,69,[],[],"[(1194, 877)]",[],[1],[103],[1.7166666666666666],"[640.0, 512.0]",horizontal,"(390.0, 762.0)",[1.6],[0.545],1,236.534
1,False,33,1.423,85,[],[],"[(1142, 881)]",[],[1],[135],[2.25],"[640.0, 512.0]",horizontal,"(890.0, 762.0)",[1.25],[0.81],0,241.368
1,False,34,0.906,54,[],[],"[(1142, 892)]",[],[1],[104],[1.7333333333333334],"[640.0, 512.0]",vertical,"(390.0, 262.0)",[1.0166666666666666],[0.805],0,246.441
1,False,35,0.467,28,[],[],"[(1148, 898)]",[],[1],[78],[1.3],"[640.0, 512.0]",horizontal,"(390.0, 762.0)",[1.05],[0.807],0,250.974
1,False,36,1.146,68,[],[],"[(1133, 890)]",[],[1],[118],[1.9666666666666666],"[640.0, 512.0]",vertical,"(390.0, 262.0)",[1.3833333333333333],[0.803],0,276.521
1,False,37,0.595,35,[],[],"[(1135, 897)]",[],[1],[85],[1.4166666666666667],"[640.0, 512.0]",horizontal,"(390.0, 262.0)",[0.75],[0.805],0,282.377
1,False,38,0.391,23,[],[],"[(1144, 881)]",[],[1],[],[],"[640.0, 512.0]",vertical,"(890.0, 262.0)",[],[0],0,287.082
1,False,39,0.653,39,[],[],"[(1141, 928)]",[],[1],[89],[1.4833333333333334],"[640.0, 512.0]",horizontal,"(390.0, 262.0)",[0.9333333333333333],[0.806],0,293.276
1,False,40,0.765,45,[],[],"[(1093, 898)]",[],[1],[75],[1.25],"[640.0, 512.0]",vertical,"(890.0, 262.0)",[1.0833333333333333],[0.481],1,300.742
1,False,41,1.198,71,[],[],"[(1202, 894)]",[],[1],[121],[2.0166666666666666],"[640.0, 512.0]",horizontal,"(390.0, 762.0)",[1.4333333333333333],[0.81],0,305.147
1,False,42,1.204,72,[],[],"[(1204, 889)]",[],[1],[113],[1.8833333333333333],"[640.0, 512.0]",vertical,"(390.0, 262.0)",[1.25],[0.663],1,310.13
1,False,43,1.067,64,[],[],"[(1196, 871)]",[],[1],[98],[1.6333333333333333],"[640.0, 512.0]",horizontal,"(390.0, 262.0)",[1.2],[0.546],1,314.778
1,False,44,1.337,80,[],[],"[(1190, 872)]",[],[1],[128],[2.1333333333333333],"[640.0, 512.0]",horizontal,"(890.0, 762.0)",[0.6833333333333333],[0.77],1,319.164
1,False,45,0.711,42,[],[],"[(1172, 887)]",[],[1],[92],[1.5333333333333332],"[640.0, 512.0]",horizontal,"(890.0, 262.0)",[0.8],[0.807],0,323.518
1,False,46,1.28,76,[],[],"[(1184, 858)]",[],[1],[109],[1.8166666666666667],"[640.0, 512.0]",horizontal,"(890.0, 262.0)",[0.8],[0.527],1,327.442
1,False,47,0.394,23,[],[],"[(1177, 885)]",[],[1],[73],[1.2166666666666666],"[640.0, 512.0]",vertical,"(890.0, 762.0)",[0.85],[0.798],0,331.616
1,False,48,1.033,61,[],[],"[(1204, 887)]",[],[1],[111],[1.8499999999999999],"[640.0, 512.0]",horizontal,"(890.0, 762.0)",[1.65],[0.805],0,335.207
1,False,49,0.918,55,[],[],"[(1166, 846)]",[],[1],[90],[1.5],"[640.0, 512.0]",horizontal,"(390.0, 762.0)",[1.0833333333333333],[0.555],1,340.226
1,False,50,0.401,24,[],[],"[(1154, 881)]",[],[1],[74],[1.2333333333333334],"[640.0, 512.0]",horizontal,"(890.0, 262.0)",[0.9833333333333333],[0.81],0,347.613
1,False,51,0.436,26,[],[],"[(1173, 885)]",[],[1],[76],[1.2666666666666666],"[640.0, 512.0]",horizontal,"(390.0, 762.0)",[1.0833333333333333],[0.803],0,351.354
1,False,52,0.771,46,[],[],"[(1032, 891)]",[],[1],[96],[1.6],"[640.0, 512.0]",horizontal,"(890.0, 262.0)",[0.9833333333333333],[0.806],0,366.8
1,False,53,0.856,51,[],[],"[(1164, 870)]",[],[1],[89],[1.4833333333333334],"[640.0, 512.0]",vertical,"(390.0, 262.0)",[1.15],[0.605],1,371.044
1,False,54,1.272,76,[],[],"[(1172, 870)]",[],[1],[107],[1.7833333333333332],"[640.0, 512.0]",vertical,"(890.0, 262.0)",[1.2],[0.495],1,376.614
1,False,55,0.72,43,[],[],"[(1172, 877)]",[],[1],[88],[1.4666666666666666],"[640.0, 512.0]",horizontal,"(390.0, 762.0)",[1.25],[0.723],1,381.147
1,False,56,0.65,39,[],[],"[(1168, 877)]",[],[1],[76],[1.2666666666666666],"[640.0, 512.0]",vertical,"(390.0, 762.0)",[1.25],[0.589],1,385.409
1,False,57,0.976,58,[],[],"[(1166, 887)]",[],[1],[108],[1.8],"[640.0, 512.0]",vertical,"(890.0, 762.0)",[0.9833333333333333],[0.807],0,389.469
1,False,58,0.959,57,[],[],"[(1109, 868)]",[],[1],[107],[1.7833333333333332],"[640.0, 512.0]",horizontal,"(390.0, 262.0)",[1.5333333333333332],[0.803],0,393.776
1,False,59,0.698,41,[],[],"[(1172, 873)]",[],[1],[91],[1.5166666666666666],"[640.0, 512.0]",horizontal,"(890.0, 762.0)",[0.6666666666666666],[0.809],0,399.321
1,False,60,1.404,84,[],[],"[(1205, 902)]",[],[1],[134],[2.2333333333333334],"[640.0, 512.0]",horizontal,"(890.0, 262.0)",[1.2333333333333334],[0.797],0,403.141
2,False,61,0.992,59,[],[],"[(1123, 857)]",[],[1],[109],[1.8166666666666667],"[640.0, 512.0]",vertical,"(890.0, 762.0)",[1.0333333333333332],[0.809],0,408.144
2,False,62,0.413,24,[],[],"[(1184, 885)]",[],[1],[59],[0.9833333333333333],"[640.0, 512.0]",horizontal,"(890.0, 762.0)",[1.15],[0.559],1,415.968
2,False,63,1.277,76,[],[],"[(1196, 880)]",[],[1],[115],[1.9166666666666667],"[640.0, 512.0]",vertical,"(390.0, 262.0)",[0.6333333333333333],[0.624],1,419.736
2,False,64,0.755,45,[],[],"[(1190, 843)]",[],[1],[82],[1.3666666666666667],"[640.0, 512.0]",horizontal,"(390.0, 262.0)",[1.2],[0.585],1,423.874
2,False,65,1.233,73,[],[],"[(1162, 874)]",[],[1],[108],[1.8],"[640.0, 512.0]",horizontal,"(390.0, 262.0)",[1.4333333333333333],[0.56],1,427.961
2,False,66,0.965,57,[],[],"[(1166, 874)]",[],[1],[93],[1.55],"[640.0, 512.0]",vertical,"(390.0, 262.0)",[0.8833333333333333],[0.572],1,432.703
2,False,67,1.218,73,[],[],"[(1160, 874)]",[],[1],[111],[1.8499999999999999],"[640.0, 512.0]",horizontal,"(890.0, 262.0)",[0.5333333333333333],[0.609],1,436.693
2,False,68,0.639,38,[],[],"[(1160, 869)]",[],[1],[88],[1.4666666666666666],"[640.0, 512.0]",vertical,"(890.0, 762.0)",[1.65],[0.803],0,443.263
2,False,69,0.597,35,[],[],"[(1160, 885)]",[],[1],[85],[1.4166666666666667],"[640.0, 512.0]",horizontal,"(390.0, 762.0)",[0.9666666666666667],[0.808],0,447.978
2,False,70,0.795,47,[],[],"[(1160, 877)]",[],[1],[97],[1.6166666666666667],"[640.0, 512.0]",horizontal,"(890.0, 762.0)",[0.6],[0.798],0,452.103
