block,practice,trial,change_interval_s,change_interval_frames,taps_start_time_during_fix,taps_end_time_during_fix,taps_start_loc_during_fix,taps_end_loc_during_fix,taps_on_lever_during_fix,taps_on_lever_frame_during_fix,taps_on_lever_s_during_fix,fix_xy,bar_orientation,target_xy,cti,rt,acc,time
1,TRUE,1,0.875,52,,,"(1084, 799)",,1,24,0.4,"640.0, 512.0",vertical,"(390.0, 262.0)",1.666666667,0.367,1,0.461
1,TRUE,2,0.834,50,,,"(1166, 906)",,1,33,0.55,"640.0, 512.0",vertical,"(890.0, 262.0)",1.583333333,0.516,1,11.52
1,TRUE,3,0.858,51,,,"(1113, 877)",,1,31,0.516666667,"640.0, 512.0",vertical,"(890.0, 262.0)",1.583333333,0.48,1,67.453
1,TRUE,4,0.851,51,,,"(1088, 897)",,1,35,0.583333333,"640.0, 512.0",vertical,"(890.0, 762.0)",1.6,0.541,1,72.671
1,FALSE,1,0.528,31,,,"(1095, 865)",,1,35,0.583333333,"640.0, 512.0",horizontal,"(890.0, 762.0)",0.85,0.54,1,77.83
1,FALSE,2,1.168,70,,,"(1119, 884)",,1,37,0.616666667,"640.0, 512.0",vertical,"(890.0, 762.0)",0.65,0.576,1,81.982
1,FALSE,3,0.751,45,,,"(1114, 889)",,1,33,0.55,"640.0, 512.0",vertical,"(390.0, 762.0)",1.133333333,0.514,1,86.463
1,FALSE,4,0.58,34,,,"(1093, 855)",,1,36,0.6,"640.0, 512.0",vertical,"(890.0, 262.0)",0.516666667,0.554,1,90.894
1,FALSE,5,0.761,45,,,"(1093, 865)",,1,34,0.566666667,"640.0, 512.0",vertical,"(890.0, 762.0)",0.65,0.528,1,94.541
1,FALSE,6,0.784,47,,,"(1114, 860)",,1,37,0.616666667,"640.0, 512.0",horizontal,"(890.0, 262.0)",0.9,0.577,1,98.53
1,FALSE,7,0.611,36,,,"(1105, 879)",,1,37,0.616666667,"640.0, 512.0",vertical,"(390.0, 762.0)",0.683333333,0.576,1,102.711
1,FALSE,8,1.063,63,,,"(1092, 871)",,1,,,"640.0, 512.0",horizontal,"(390.0, 762.0)",,0,0,108.369
1,FALSE,9,1.162,69,,,"(1146, 870)",,1,37,0.616666667,"640.0, 512.0",vertical,"(890.0, 262.0)",1.2,0.573,1,113.454
1,FALSE,10,0.86,51,,,"(1083, 847)",,1,51,0.85,"640.0, 512.0",vertical,"(390.0, 762.0)",1.116666667,0.803,0,118.904
1,FALSE,11,0.948,56,,,"(1093, 872)",,1,41,0.683333333,"640.0, 512.0",horizontal,"(390.0, 762.0)",1.433333333,0.642,1,123.639
1,FALSE,12,1.11,66,,,"(1087, 889)",,1,35,0.583333333,"640.0, 512.0",vertical,"(390.0, 262.0)",1.033333333,0.545,1,131.94
1,FALSE,13,1.029,61,,,"(1116, 856)",,1,33,0.55,"640.0, 512.0",horizontal,"(390.0, 762.0)",1.683333333,0.512,1,172.69
1,FALSE,14,0.944,56,,,"(1088, 858)",,1,37,0.616666667,"640.0, 512.0",horizontal,"(390.0, 262.0)",1.016666667,0.58,1,177.938
1,FALSE,15,0.849,50,,,"(1087, 846)",,1,37,0.616666667,"640.0, 512.0",horizontal,"(390.0, 262.0)",0.633333333,0.573,1,182.494
1,FALSE,16,1.043,62,,,"(1122, 874)",,1,36,0.6,"640.0, 512.0",horizontal,"(890.0, 762.0)",1.05,0.559,1,191.41
