block,practice,trial,taps_start_loc_during_fix,taps_end_loc_during_fix,taps_on_lever_during_fix,taps_on_lever_s_during_fix,bar_orientation,target_xy,cti,rt,acc,time
1,True,1,"[(1069, 829)]",[],[1],[0.1],vertical,"(390.0, 762.0)",1.6166666666666667,0.067,1,0.413
1,True,2,"[(1069, 825)]",[],[1],[0.43333333333333335],horizontal,"(390.0, 262.0)",1.1333333333333333,0.396,1,6.907
1,True,3,"[(1069, 823)]",[],[1],[],vertical,"(890.0, 762.0)",,fix_phase,0,29.025
1,True,4,"[(1069, 823)]",[],[1],[0.5833333333333334],horizontal,"(390.0, 762.0)",1.5166666666666666,0.541,1,34.929
1,False,1,"[(1069, 823)]",[],[1],[0.43333333333333335],vertical,"(890.0, 262.0)",1.25,0.395,1,39.752
1,False,2,"[(1069, 823)]",[],[1],[0.45],horizontal,"(890.0, 262.0)",0.8166666666666667,0.409,1,45.928
1,False,3,"[(1076, 899)]",[],[1],[0.85],vertical,"(390.0, 262.0)",1.0,0.808,0,51.844
1,False,4,"[(1076, 859)]",[],[1],[0.85],horizontal,"(390.0, 262.0)",0.5166666666666666,0.801,0,440.944
1,False,5,"[(1075, 859)]",[],[1],[0.7],horizontal,"(890.0, 262.0)",1.3833333333333333,0.656,1,446.598
1,False,6,"[(1048, 890)]",[],[1],[0.5],vertical,"(390.0, 762.0)",1.65,0.455,1,452.161
1,False,7,"[(1057, 891)]",[],[1],[0.6333333333333333],horizontal,"(890.0, 762.0)",0.7333333333333333,0.595,1,457.93
1,False,8,"[(1063, 890)]",[],[1],[0.48333333333333334],horizontal,"(890.0, 262.0)",1.5333333333333332,0.444,1,462.311
1,False,9,"[(1059, 863)]",[],[1],[0.5333333333333333],vertical,"(390.0, 262.0)",1.55,0.494,1,467.413
1,False,10,"[(1052, 879)]",[],[1],[0.6166666666666667],vertical,"(890.0, 262.0)",1.4,0.575,1,472.719
1,False,11,"[(1044, 881)]",[],[1],[0.5333333333333333],horizontal,"(890.0, 262.0)",0.9833333333333333,0.488,1,477.543
1,False,12,"[(1052, 898)]",[],[1],[0.6833333333333333],vertical,"(390.0, 262.0)",1.3166666666666667,0.645,1,482.715
1,False,13,"[(1054, 894)]",[],[1],[0.5166666666666666],horizontal,"(390.0, 262.0)",0.7166666666666667,0.485,1,487.916
1,False,14,"[(1071, 863)]",[],[1],[0.5666666666666667],horizontal,"(890.0, 762.0)",1.2166666666666666,0.535,1,492.42
1,False,15,"[(1061, 900)]",[],[1],[0.5666666666666667],vertical,"(890.0, 762.0)",1.6833333333333333,0.529,1,497.194
1,False,16,"[(1072, 886)]",[],[1],[0.5333333333333333],vertical,"(390.0, 762.0)",1.05,0.497,1,502.654
1,False,17,"[(1057, 890)]",[],[1],[0.5666666666666667],vertical,"(390.0, 762.0)",0.5166666666666666,0.53,1,507.271
1,False,18,"[(1038, 892)]",[],[1],[0.6166666666666667],horizontal,"(890.0, 762.0)",1.2,0.574,1,511.818
1,False,19,"[(1059, 893)]",[],[1],[0.6166666666666667],vertical,"(890.0, 262.0)",0.65,0.574,1,516.68
1,False,20,"[(1057, 903)]",[],[1],[0.6666666666666666],vertical,"(890.0, 262.0)",0.7666666666666666,0.63,1,520.963
1,False,21,"[(1076, 902)]",[],[1],[0.6],vertical,"(890.0, 762.0)",0.7,0.555,1,525.583
1,False,22,"[(1039, 905)]",[],[1],[0.5666666666666667],vertical,"(890.0, 262.0)",0.9333333333333333,0.54,1,530.185
1,False,23,"[(1065, 876)]",[],[1],[0.5666666666666667],vertical,"(890.0, 762.0)",1.2666666666666666,0.529,1,535.076
1,False,24,"[(1063, 855)]",[],[1],[0.55],vertical,"(890.0, 762.0)",1.0666666666666667,0.509,1,539.858
1,False,25,"[(1042, 897)]",[],[1],[0.75],vertical,"(890.0, 762.0)",1.0333333333333332,0.703,1,544.56
1,False,26,"[(1076, 892)]",[],[1],[0.85],horizontal,"(390.0, 762.0)",0.7,0.803,0,549.153
1,False,27,"[(1047, 899)]",[],[1],[0.55],vertical,"(890.0, 262.0)",0.9,0.513,1,553.569
1,False,28,"[(1057, 895)]",[],[1],[0.6],vertical,"(890.0, 262.0)",0.5166666666666666,0.557,1,558.722
1,False,29,"[(1047, 895)]",[],[1],[0.6333333333333333],vertical,"(390.0, 762.0)",0.9,0.592,1,562.666
1,False,30,"[(1039, 879)]",[],[1],[0.5166666666666666],horizontal,"(890.0, 262.0)",0.95,0.477,1,566.875
1,False,31,"[(1042, 878)]",[],[1],[0.43333333333333335],horizontal,"(390.0, 262.0)",1.4,0.398,1,571.762
1,False,32,"[(1035, 908)]",[],[1],[0.6],vertical,"(390.0, 762.0)",1.5,0.562,1,576.696
1,False,33,"[(1036, 880)]",[],[1],[0.5833333333333334],horizontal,"(390.0, 762.0)",1.4333333333333333,0.541,1,581.944
1,False,34,"[(1042, 893)]",[],[1],[0.6],horizontal,"(890.0, 762.0)",1.0166666666666666,0.558,1,587.409
