block,practice,trial,trial_type,taps_start_loc_during_fix,taps_end_loc_during_fix,taps_on_lever_during_fix,taps_on_lever_s_during_fix,bar_orientation,target_xy,cti,rt,acc,time
1,True,1,target,"[(1116, 845)]",[],[1],[0.3833333333333333],vertical,"(890.0, 262.0)",0.9666666666666667,0.345,1,0.103
1,True,2,target,"[(1072, 894)]",[],[1],[0.5],vertical,"(390.0, 762.0)",0.9666666666666667,0.468,1,5.352
1,True,3,target,"[(1076, 881)]",[],[1],[0.85],vertical,"(890.0, 762.0)",1.6166666666666667,nan,0,173.098
1,True,4,target,"[(1072, 869)]",[],[1],[0.48333333333333334],vertical,"(890.0, 262.0)",1.5666666666666667,0.443,1,178.768
1,False,1,target,"[(1076, 903)]",[],[1],[0.5833333333333334],horizontal,"(890.0, 762.0)",0.85,0.542,1,183.882
1,False,2,target,"[(1072, 887)]",[],[1],[0.55],horizontal,"(890.0, 762.0)",0.55,0.512,1,188.422
1,False,3,target,"[(1072, 881)]",[],[1],[0.5166666666666666],horizontal,"(890.0, 262.0)",0.5,0.477,1,192.221
1,False,4,target,"[(1067, 871)]",[],[1],[0.5],horizontal,"(890.0, 262.0)",1.1,0.464,1,196.385
1,False,5,catch,"[(1076, 880)]",[],[1],[0.7833333333333333],vertical,"(890.0, 762.0)",1.6666666666666667,0.742,0,200.935
1,False,6,target,"[(1045, 876)]",[],[1],[0.5333333333333333],horizontal,"(890.0, 262.0)",0.55,0.493,1,206.432
1,False,7,target,"[(1072, 877)]",[],[1],[0.55],vertical,"(890.0, 762.0)",0.7833333333333333,0.507,1,211.172
1,False,8,target,"[(1086, 888)]",[],[1],[0.5833333333333334],vertical,"(390.0, 762.0)",1.1333333333333333,0.542,1,215.206
1,False,9,target,"[(1079, 882)]",[],[1],[0.6666666666666666],horizontal,"(890.0, 762.0)",0.5833333333333334,0.622,1,219.803
1,False,10,catch,"[(1076, 873)]",[],[1],[0.85],vertical,"(890.0, 262.0)",0.9333333333333333,nan,1,224.201
1,False,11,target,"[(1077, 885)]",[],[1],[0.45],horizontal,"(890.0, 762.0)",1.4333333333333333,0.411,1,229.422
1,False,12,target,"[(1076, 889)]",[],[1],[0.55],horizontal,"(390.0, 262.0)",1.15,0.508,1,238.802
1,False,13,target,"[(1071, 852)]",[],[1],[],horizontal,"(390.0, 262.0)",,cti_phase,0,243.602
1,False,14,target,"[(1081, 900)]",[],[1],[0.5166666666666666],vertical,"(390.0, 262.0)",1.0,0.476,1,251.228
1,False,15,target,"[(1072, 901)]",[],[1],[0.5],horizontal,"(890.0, 762.0)",1.1,0.461,1,263.567
1,False,16,target,"[(1076, 896)]",[],[1],[0.5166666666666666],vertical,"(890.0, 262.0)",0.9666666666666667,0.475,1,269.49
1,False,17,catch,"[(1075, 895)]",[],[1],[0.85],vertical,"(890.0, 262.0)",1.0666666666666667,nan,1,273.873
1,False,18,target,"[(1072, 888)]",[],[1],[0.55],vertical,"(390.0, 762.0)",0.7,0.511,1,278.737
1,False,19,catch,"[(1081, 895)]",[],[1],[0.6],horizontal,"(390.0, 262.0)",1.4166666666666667,0.56,0,284.151
1,False,20,target,"[(1085, 873)]",[],[1],[0.5833333333333334],vertical,"(390.0, 762.0)",1.0666666666666667,0.543,1,289.181
1,False,21,target,"[(1088, 890)]",[],[1],[0.65],horizontal,"(390.0, 762.0)",0.7833333333333333,0.612,1,294.392
1,False,22,target,"[(1072, 893)]",[],[1],[0.5333333333333333],vertical,"(890.0, 262.0)",1.6833333333333333,0.498,1,299.101
1,False,23,target,"[(1082, 901)]",[],[1],[0.5833333333333334],horizontal,"(890.0, 262.0)",0.9333333333333333,0.542,1,304.039
1,False,24,target,"[(1101, 883)]",[],[1],[0.5833333333333334],horizontal,"(890.0, 262.0)",0.9333333333333333,0.539,1,308.952
1,False,25,target,"[(1074, 859)]",[],[1],[0.35],horizontal,"(390.0, 762.0)",0.8,0.311,1,313.286
1,False,26,target,"[(1081, 890)]",[],[1],[0.6333333333333333],vertical,"(890.0, 762.0)",1.1833333333333333,0.585,1,317.242
1,False,27,target,"[(1072, 878)]",[],[1],[0.5833333333333334],vertical,"(890.0, 762.0)",0.7666666666666666,0.545,1,321.923
1,False,28,target,"[(1085, 886)]",[],[1],[0.5666666666666667],vertical,"(890.0, 762.0)",1.2833333333333332,0.524,1,326.814
1,False,29,target,"[(1067, 887)]",[],[1],[0.6],vertical,"(890.0, 762.0)",0.7833333333333333,0.553,1,331.282
1,False,30,target,"[(1072, 890)]",[],[1],[0.5166666666666666],horizontal,"(390.0, 762.0)",1.6,0.475,1,335.45
1,False,31,target,"[(1062, 902)]",[],[1],[0.5],horizontal,"(390.0, 262.0)",1.5166666666666666,0.463,1,340.232
1,False,32,target,"[(1075, 872)]",[],[1],[0.5666666666666667],horizontal,"(890.0, 762.0)",1.65,0.525,1,345.386
1,False,33,target,"[(1076, 883)]",[],[1],[0.5833333333333334],horizontal,"(890.0, 262.0)",0.5833333333333334,0.538,1,350.872
1,False,34,target,"[(1070, 871)]",[],[1],[0.5166666666666666],vertical,"(890.0, 262.0)",1.6333333333333333,0.476,1,354.892
1,False,35,target,"[(1112, 881)]",[],[1],[0.55],horizontal,"(890.0, 762.0)",0.9833333333333333,0.507,1,360.105
1,False,36,target,"[(1072, 872)]",[],[1],[0.55],vertical,"(890.0, 262.0)",0.75,0.506,1,364.634
1,False,37,target,"[(1072, 881)]",[],[1],[0.6333333333333333],horizontal,"(890.0, 762.0)",1.1666666666666667,0.595,1,368.912
1,False,38,target,"[(1075, 854)]",[],[1],[0.65],vertical,"(390.0, 262.0)",0.6166666666666667,0.601,1,373.492
1,False,39,catch,"[(1089, 888)]",[],[1],[0.85],vertical,"(890.0, 762.0)",0.6333333333333333,nan,1,377.539
1,False,40,target,"[(173, 481), (52, 481), (738, 579), (1255, 852), (1245, 872), (584, 435), (1173, 199), (474, 840), (469, 707), (387, 843), (1098, 868)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",[0.6666666666666666],horizontal,"(890.0, 762.0)",0.5166666666666666,0.624,1,381.936
1,False,41,target,"[(1070, 860)]",[],[1],[0.06666666666666667],horizontal,"(390.0, 762.0)",1.2,0.036,1,395.601
1,False,42,target,"[(1037, 900)]",[],[1],[0.85],vertical,"(390.0, 262.0)",1.1833333333333333,"cti_phase,nan",0,399.796
1,False,43,target,"[(1062, 869)]",[],[1],[0.48333333333333334],vertical,"(890.0, 762.0)",0.9666666666666667,0.439,1,405.013
1,False,44,target,"[(1058, 901)]",[],[1],[0.8],vertical,"(890.0, 762.0)",1.05,0.751,1,409.414
1,False,45,catch,"[(469, 449), (1057, 895)]",[],"[0, 1]",[0.5],horizontal,"(890.0, 262.0)",1.0166666666666666,0.464,0,414.41
1,False,46,target,"[(1062, 874)]",[],[1],[0.5333333333333333],horizontal,"(390.0, 762.0)",0.5,0.489,1,424.283
1,False,47,target,"[(1078, 901)]",[],[1],[0.5166666666666666],horizontal,"(390.0, 762.0)",1.4833333333333334,0.473,1,428.883
1,False,48,target,"[(1052, 907)]",[],[1],[0.5833333333333334],vertical,"(890.0, 262.0)",1.3166666666666667,0.542,1,433.979
1,False,49,target,"[(1071, 905)]",[],[1],[0.5833333333333334],vertical,"(390.0, 762.0)",1.5166666666666666,0.543,1,438.536
1,False,50,target,"[(1082, 896)]",[],[1],[0.6833333333333333],vertical,"(890.0, 762.0)",0.9166666666666666,0.637,1,443.197
1,False,51,target,"[(1066, 881)]",[],[1],[0.5333333333333333],horizontal,"(890.0, 762.0)",0.8333333333333334,0.494,1,448.338
1,False,52,target,"[(1077, 877)]",[],[1],[0.85],vertical,"(890.0, 762.0)",0.8666666666666667,nan,0,452.656
1,False,53,target,"[(1097, 872)]",[],[1],[],horizontal,"(390.0, 762.0)",,fix_phase,0,457.186
1,False,54,target,"[(1101, 880)]",[],[1],[0.7333333333333333],vertical,"(390.0, 262.0)",0.7833333333333333,0.692,1,458.93
1,False,55,target,"[(1086, 859)]",[],[1],"[0.85, 0.85]",vertical,"(390.0, 762.0)",0.5,"0.807,nan",0,463.238
1,False,56,target,"[(1067, 868)]",[],[1],[0.55],vertical,"(390.0, 262.0)",1.45,0.509,1,467.413
1,False,57,target,"[(1068, 880)]",[],[1],[0.85],vertical,"(890.0, 262.0)",0.6166666666666667,nan,0,472.536
1,False,58,target,"[(1057, 874)]",[],[1],[0.85],horizontal,"(890.0, 762.0)",1.5166666666666666,nan,0,477.029
1,False,59,target,"[(1073, 862)]",[],[1],[0.85],vertical,"(890.0, 262.0)",0.5,nan,0,482.721
1,False,60,target,"[(1076, 873)]",[],[1],[0.85],vertical,"(890.0, 262.0)",0.8666666666666667,nan,0,486.937
2,False,61,target,"[(1072, 888)]",[],[1],[0.55],horizontal,"(390.0, 262.0)",0.55,0.506,1,491.922
2,False,62,target,"[(1067, 879)]",[],[1],[0.5333333333333333],vertical,"(890.0, 262.0)",0.9333333333333333,0.496,1,496.11
2,False,63,target,"[(1074, 890)]",[],[1],[0.85],vertical,"(390.0, 762.0)",1.3,nan,0,500.237
2,False,64,target,"[(1086, 890)]",[],[1],[0.85],vertical,"(890.0, 262.0)",0.6,nan,0,505.168
2,False,65,target,"[(1083, 860)]",[],[1],[0.5166666666666666],horizontal,"(390.0, 762.0)",1.4666666666666666,0.481,1,519.718
2,False,66,target,"[(1081, 907)]",[],[1],[0.3333333333333333],vertical,"(890.0, 262.0)",0.8666666666666667,0.3,1,530.835
2,False,67,target,"[(1081, 893)]",[],[1],[0.85],vertical,"(390.0, 762.0)",1.3,nan,0,535.098
2,False,68,target,"[(1080, 867)]",[],[1],[0.85],horizontal,"(390.0, 762.0)",1.05,nan,0,540.502
2,False,69,target,"[(1094, 870)]",[],[1],[0.5666666666666667],horizontal,"(890.0, 762.0)",0.7666666666666666,0.524,1,546.272
2,False,70,target,"[(1069, 890)]",[],[1],[0.85],vertical,"(890.0, 762.0)",0.6333333333333333,nan,0,550.523
2,False,71,target,"[(1060, 871)]",[],[1],[0.85],horizontal,"(390.0, 762.0)",1.55,nan,0,554.769
2,False,72,target,"[(1058, 883)]",[],[1],[0.5666666666666667],horizontal,"(390.0, 262.0)",1.1,0.528,1,560.303
2,False,73,target,"[(1072, 876)]",[],[1],[0.26666666666666666],vertical,"(390.0, 762.0)",0.95,0.234,1,568.203
2,False,74,target,"[(1076, 886)]",[],[1],[0.5166666666666666],vertical,"(390.0, 262.0)",1.2833333333333332,0.48,1,572.499
2,False,75,target,"[(1072, 873)]",[],[1],[0.48333333333333334],vertical,"(390.0, 762.0)",0.9,0.444,1,577.153
2,False,76,target,"[(1068, 864)]",[],[1],[0.5],horizontal,"(890.0, 262.0)",1.4,0.458,1,582.139
2,False,77,target,"[(1077, 881)]",[],[1],[0.85],horizontal,"(390.0, 262.0)",1.6166666666666667,nan,0,586.996
2,False,78,target,"[(1076, 876)]",[],[1],[0.5833333333333334],vertical,"(390.0, 262.0)",1.2333333333333334,0.551,1,593.02
2,False,79,catch,"[(1072, 864)]",[],[1],[0.85],vertical,"(390.0, 262.0)",0.5166666666666666,nan,1,598.019
2,False,80,target,"[(1073, 871)]",[],[1],[0.5],horizontal,"(890.0, 262.0)",1.3833333333333333,0.457,1,602.691
2,False,81,target,"[(1074, 897)]",[],[1],[0.6333333333333333],horizontal,"(390.0, 262.0)",1.0166666666666666,0.589,1,610.728
2,False,82,target,"[(1087, 898)]",[],[1],[0.5333333333333333],horizontal,"(890.0, 262.0)",1.2833333333333332,0.488,1,615.09
