block,practice,trial,trial_type,taps_start_loc_during_fix,taps_end_loc_during_fix,taps_on_lever_during_fix,taps_on_lever_s_during_fix,bar_orientation,target_xy,cti,rt,acc,time
1,True,1,target,"[(1029, 843)]",[],[1],[0.35],vertical,"(390.0, 762.0)",0.7666666666666666,0.312,1,0.051
1,True,2,catch,"[(1029, 842)]",[],[1],[0.45],vertical,"(390.0, 762.0)",1.6666666666666667,nan,1,5.063
1,True,3,target,"[(1046, 849)]",[],[1],[0.6333333333333333],horizontal,"(390.0, 262.0)",1.6833333333333333,0.593,1,20.513
1,True,4,target,"[(1038, 834)]",[],[1],[0.45],vertical,"(890.0, 262.0)",1.35,0.414,1,34.082
1,False,1,target,"[(692, 989), (659, 1004), (1081, 910)]",[],"[0, 0, 1]",[],vertical,"(390.0, 762.0)",,cti_phase,0,38.845
1,False,2,target,"[(1059, 886)]",[],[1],[0.85],vertical,"(390.0, 762.0)",1.4166666666666667,nan,0,2219.306
1,False,3,catch,"[(1075, 896)]",[],[1],[0.45],horizontal,"(390.0, 262.0)",0.7666666666666666,nan,1,2225.109
1,False,4,catch,"[(1060, 906)]",[],[1],[0.45],horizontal,"(390.0, 762.0)",0.6,nan,1,2232.126
1,False,5,target,"[(555, 324), (654, 648), (1076, 915)]",[],"[0, 0, 1]",[0.85],horizontal,"(890.0, 762.0)",1.0333333333333332,nan,0,2236.644
1,False,6,target,"[(1068, 863)]",[],[1],[0.85],horizontal,"(390.0, 762.0)",1.2833333333333332,nan,0,4831.238
1,False,7,target,"[(1103, 881)]",[],[1],[0.45],horizontal,"(390.0, 262.0)",1.2833333333333332,0.408,1,4836.262
1,False,8,target,"[(1109, 883)]",[],[1],[0.85],vertical,"(390.0, 262.0)",0.6666666666666666,nan,0,4845.339
1,False,9,target,"[(1081, 881)]",[],[1],[0.3833333333333333],horizontal,"(390.0, 262.0)",0.9666666666666667,0.347,1,4849.983
1,False,10,target,"[(1076, 887)]",[],[1],[0.55],horizontal,"(890.0, 762.0)",0.6333333333333333,0.502,1,4854.342
1,False,11,catch,"[(1100, 888)]",[],[1],[0.3333333333333333],horizontal,"(390.0, 262.0)",0.9666666666666667,0.297,0,4858.687
1,False,12,target,"[(1076, 891)]",[],[1],[0.85],vertical,"(390.0, 262.0)",1.3,nan,0,4862.997
1,False,13,target,"[(1070, 901)]",[],[1],[0.85],vertical,"(890.0, 262.0)",1.15,nan,0,4869.317
1,False,14,target,"[(1092, 893)]","[(1089, 894)]",[1],[0.18333333333333332],horizontal,"(390.0, 762.0)",,bar_phase,0,4875.054
1,False,15,target,"[(1075, 892)]",[],[1],[0.48333333333333334],vertical,"(890.0, 262.0)",0.5833333333333334,0.447,1,4877.656
1,False,16,target,"[(1075, 905)]",[],[1],[0.5666666666666667],vertical,"(390.0, 262.0)",0.6,0.535,1,4882.491
1,False,17,target,"[(1075, 896)]",[],[1],[0.5666666666666667],vertical,"(390.0, 262.0)",0.8833333333333333,0.527,1,4887.178
1,False,18,catch,"[(1090, 901)]",[],[1],[],horizontal,"(390.0, 262.0)",,cti_phase,0,4891.671
1,False,19,target,"[(1080, 859)]",[],[1],[0.55],horizontal,"(890.0, 762.0)",0.8666666666666667,0.511,1,4896.112
1,False,20,target,"[(1103, 896)]",[],[1],[],horizontal,"(390.0, 262.0)",,cti_phase,0,4901.059
1,False,21,target,"[(1086, 889)]",[],[1],[0.3833333333333333],horizontal,"(390.0, 262.0)",1.4333333333333333,0.344,1,4905.115
1,False,22,target,"[(1072, 886)]",[],[1],[0.48333333333333334],vertical,"(390.0, 262.0)",0.9166666666666666,0.448,1,4910.724
1,False,23,target,"[(1077, 896)]",[],[1],[0.36666666666666664],horizontal,"(890.0, 262.0)",1.5333333333333332,0.331,1,4915.662
1,False,24,catch,"[(1090, 889)]",[],[1],[0.36666666666666664],horizontal,"(890.0, 262.0)",0.6333333333333333,0.333,0,4920.561
1,False,25,catch,"[(1090, 892)]",[],[1],[0.45],horizontal,"(390.0, 262.0)",0.7,nan,1,4924.634
1,False,26,target,"[(67, 862), (1008, 873)]",[],"[0, 1]",[0.21666666666666667],horizontal,"(890.0, 262.0)",1.6833333333333333,0.185,1,4929.228
1,False,27,catch,"[(1073, 909)]",[],[1],[0.45],horizontal,"(390.0, 762.0)",1.6,nan,1,4947.171
1,False,28,target,"[(1072, 893)]",[],[1],[0.8],horizontal,"(390.0, 262.0)",1.1666666666666667,0.75,1,4952.094
1,False,29,target,"[(59, 864), (1061, 879)]",[],"[0, 1]",[0.85],vertical,"(890.0, 762.0)",0.95,nan,0,4957.49
1,False,30,target,"[(1090, 911)]",[],[1],[0.2833333333333333],vertical,"(390.0, 262.0)",1.3666666666666667,0.253,1,4963.177
1,False,31,catch,"[(1087, 896)]",[],[1],[0.43333333333333335],vertical,"(390.0, 762.0)",1.5666666666666667,0.394,0,4967.458
1,False,32,target,"[(1119, 896)]",[],[1],[0.4166666666666667],horizontal,"(890.0, 762.0)",1.3833333333333333,0.377,1,4973.174
1,False,33,target,"[(1104, 888)]",[],[1],[0.85],horizontal,"(390.0, 262.0)",1.2666666666666666,nan,0,4978.262
1,False,34,target,"[(1082, 939)]",[],[1],[0.85],vertical,"(890.0, 262.0)",0.6166666666666667,nan,0,4983.511
1,False,35,target,"[(1085, 903)]",[],[1],[0.6],vertical,"(390.0, 262.0)",0.7833333333333333,0.555,1,4989.261
1,False,36,catch,"[(1130, 896)]",[],[1],[],vertical,"(890.0, 762.0)",,cti_phase,0,4994.161
1,False,37,target,"[(1110, 881)]","[(1073, 884)]",[1],[0.05],vertical,"(890.0, 262.0)",,bar_phase,0,4997.914
1,False,38,target,"[(1082, 890)]",[],[1],[0.21666666666666667],vertical,"(390.0, 262.0)",1.2333333333333334,0.187,1,5000.497
1,False,39,target,"[(1094, 896)]","[(1090, 898)]",[1],[0.23333333333333334],vertical,"(390.0, 262.0)",,bar_phase,0,5007.414
1,False,40,target,"[(1115, 893)]",[],[1],[0.43333333333333335],horizontal,"(890.0, 762.0)",0.9666666666666667,0.398,1,5010.022
1,False,41,catch,"[(1088, 902)]",[],[1],[0.45],vertical,"(890.0, 262.0)",1.1833333333333333,nan,1,5015.491
1,False,42,target,"[(1076, 894)]",[],[1],[0.4666666666666667],horizontal,"(390.0, 262.0)",0.7833333333333333,0.432,1,5020.185
1,False,43,target,"[(1093, 913)]",[],[1],[0.4666666666666667],vertical,"(390.0, 262.0)",0.95,0.426,1,5024.934
1,False,44,target,"[(1075, 896)]",[],[1],[0.48333333333333334],horizontal,"(890.0, 262.0)",0.7,0.441,1,5029.795
1,False,45,target,"[(1102, 899)]",[],[1],[0.16666666666666666],horizontal,"(890.0, 762.0)",1.6,0.135,1,5033.767
1,False,46,target,"[(1077, 906)]",[],[1],[0.4666666666666667],horizontal,"(390.0, 262.0)",0.9333333333333333,0.432,1,5039.077
1,False,47,catch,"[(1085, 900)]",[],[1],[],horizontal,"(890.0, 262.0)",,cti_phase,0,5043.724
1,False,48,target,"[(1101, 874)]",[],[1],[0.5833333333333334],vertical,"(890.0, 262.0)",1.4,0.54,1,5048.248
1,False,49,target,"[(1104, 897)]",[],[1],[],horizontal,"(390.0, 262.0)",,cti_phase,0,5053.326
1,False,50,catch,"[(1090, 890)]",[],[1],[0.45],vertical,"(890.0, 762.0)",1.1333333333333333,nan,1,5057.18
1,False,51,target,"[(1072, 886)]",[],[1],[0.5],horizontal,"(390.0, 762.0)",0.9166666666666666,0.47,1,5061.81
1,False,52,target,"[(1082, 894)]",[],[1],[0.5],vertical,"(890.0, 762.0)",1.1333333333333333,0.46,1,5067.651
1,False,53,target,"[(1071, 872)]",[],[1],[0.48333333333333334],vertical,"(890.0, 762.0)",1.5666666666666667,0.444,1,5072.489
1,False,54,target,"[(1083, 906)]",[],[1],[0.08333333333333333],vertical,"(390.0, 262.0)",1.4833333333333334,0.052,1,5078.013
1,False,55,target,"[(1065, 901)]",[],[1],[0.48333333333333334],vertical,"(890.0, 262.0)",0.7166666666666667,0.444,1,5082.562
1,False,56,catch,"[(1091, 896)]",[],[1],[0.45],vertical,"(390.0, 262.0)",0.7333333333333333,nan,1,5086.891
1,False,57,target,"[(1085, 910)]",[],[1],[0.5333333333333333],vertical,"(390.0, 762.0)",0.7666666666666666,0.486,1,5091.277
1,False,58,target,"[(1087, 901)]",[],[1],[0.5333333333333333],vertical,"(390.0, 262.0)",0.5666666666666667,0.492,1,5096.306
1,False,59,target,"[(1086, 905)]",[],[1],[0.7],horizontal,"(390.0, 262.0)",0.5,0.652,1,5100.744
1,False,60,target,"[(1085, 896)]",[],[1],[],horizontal,"(390.0, 262.0)",,cti_phase,0,5105.04
2,False,61,catch,"[(1085, 873)]",[],[1],[0.45],vertical,"(890.0, 762.0)",0.7666666666666666,nan,1,5109.48
2,False,62,catch,"[(1061, 897)]",[],[1],[0.45],vertical,"(390.0, 762.0)",0.85,nan,1,5113.646
2,False,63,target,"[(878, 298), (78, 688), (1250, 523), (872, 910), (1252, 709), (403, 499), (482, 605), (644, 608), (160, 456), (716, 504), (823, 442), (280, 714), (1077, 889)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",[0.48333333333333334],horizontal,"(890.0, 762.0)",1.0166666666666666,0.448,1,5122.685
2,False,64,target,"[(1071, 928)]",[],[1],[0.85],horizontal,"(890.0, 262.0)",1.4,nan,0,5147.97
2,False,65,target,"[(1022, 915)]",[],[1],[0.48333333333333334],vertical,"(390.0, 762.0)",0.9166666666666666,0.45,1,5153.377
2,False,66,target,"[(1060, 915)]",[],[1],[0.13333333333333333],vertical,"(890.0, 762.0)",1.65,0.103,1,5161.395
2,False,67,target,"[(1081, 917)]",[],[1],[0.5666666666666667],horizontal,"(390.0, 762.0)",1.1166666666666667,0.521,1,5166.59
2,False,68,target,"[(1075, 912)]",[],[1],[0.5666666666666667],vertical,"(890.0, 762.0)",0.5333333333333333,0.529,1,5171.762
2,False,69,target,"[(1077, 915)]",[],[1],[0.85],vertical,"(890.0, 262.0)",0.8,nan,0,5175.784
2,False,70,target,"[(1080, 891)]",[],[1],[0.5166666666666666],horizontal,"(890.0, 262.0)",0.7666666666666666,0.477,1,5180.457
