block,trial,trial_type,taps_start_loc_during_fix,taps_end_loc_during_fix,taps_on_lever_during_fix,taps_on_lever_s_during_fix,bar_orientation,target_xy,cti,rt,acc,time
1,1,target,"[(911, 399), (945, 388), (1089, 833)]",[],"[0, 0, 1]",[0.4],horizontal,"(890.0, 262.0)",1.6333333333333333,0.356,1,0.024
1,2,target,"[(172, 598), (979, 774), (283, 745), (269, 653), (577, 365), (165, 365), (572, 367), (947, 379), (959, 423), (1051, 335), (1051, 296), (1061, 428), (930, 322), (1095, 911)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",[0.85],horizontal,"(390.0, 262.0)",1.15,nan,0,32.146
1,3,target,"[(1087, 878)]",[],[1],[0.5],horizontal,"(890.0, 262.0)",0.9333333333333333,0.457,1,5726.773
1,4,target,"[(1067, 895)]",[],[1],[0.18333333333333332],horizontal,"(890.0, 762.0)",1.4666666666666666,0.151,1,5731.381
1,5,target,"[(1085, 900)]",[],[1],[0.65],vertical,"(890.0, 262.0)",0.5,0.607,1,5735.971
1,6,target,"[(1078, 900)]",[],[1],[0.15],vertical,"(390.0, 762.0)",1.5833333333333333,0.117,1,5739.959
1,7,target,"[(1086, 908)]",[],[1],[0.5],vertical,"(390.0, 262.0)",1.4666666666666666,0.459,1,5744.988
1,8,target,"[(1072, 907)]",[],[1],[0.6166666666666667],horizontal,"(890.0, 262.0)",0.7833333333333333,0.57,1,5749.795
1,9,target,"[(1063, 880)]",[],[1],[0.6166666666666667],vertical,"(890.0, 262.0)",1.0666666666666667,0.567,1,5754.304
1,10,target,"[(1117, 902)]",[],[1],[0.3833333333333333],vertical,"(390.0, 762.0)",1.4666666666666666,0.35,1,5759.045
1,11,target,"[(1074, 886)]",[],[1],[0.85],vertical,"(890.0, 762.0)",0.5333333333333333,nan,0,5764.011
1,12,target,"[(1138, 923)]",[],[1],[0.4],vertical,"(890.0, 262.0)",1.0166666666666666,0.358,1,5768.725
1,13,target,"[(1085, 899)]",[],[1],[0.6333333333333333],horizontal,"(890.0, 262.0)",0.5,0.587,1,5773.398
1,14,target,"[(1083, 877)]",[],[1],[0.45],vertical,"(390.0, 262.0)",1.1,0.408,1,5777.862
1,15,target,"[(1085, 903)]",[],[1],[0.1],vertical,"(890.0, 262.0)",1.5166666666666666,0.068,1,5782.665
