block,trial,trial_type,taps_start_loc_during_fix,taps_end_loc_during_fix,taps_on_lever_during_fix,taps_on_lever_s_during_fix,bar_orientation,target_xy,cti,rt,acc,time,pulses,fa_rate_recent100,p_catch
0,1,target,"[(1126, 840)]",[],[1],[0.4666666666666667],horizontal,"(890.0, 262.0)",0.3833333333333333,0.429,1,0.44,1,0.0,0.25
0,2,target,"[(1244, 977), (1256, 218), (1179, 857)]",[],"[0, 0, 1]",[],vertical,"(390.0, 262.0)",,"('fix', 0.529)",0,128.524,0,0.0,0.25
0,3,target,"[(763, 705), (988, 892), (972, 909), (1268, 933), (1248, 958), (1184, 972), (1136, 835)]",[],"[0, 0, 0, 0, 0, 0, 1]",[],horizontal,"(390.0, 762.0)",,"('fix', 0.284)",0,660.347,0,0.0,0.25
0,4,target,"[(973, 903), (1053, 943)]","[(1057, 927)]","[0, 1]",[0.06666666666666667],horizontal,"(390.0, 262.0)",,"('bar', 0.083)",0,669.628,0,0.0,0.25
0,5,target,"[(1123, 874)]",[],[1],[],vertical,"(890.0, 262.0)",,"('fix', 0.052)",0,685.277,0,0.0,0.25
0,6,target,"[(1023, 903)]",[],[1],[0.85],horizontal,"(890.0, 262.0)",0.45,"('fix', 0.596),nan",0,687.58,0,0.0,0.25
0,7,catch,"[(1026, 809)]","[(983, 911)]",[1],[0.3],horizontal,"(890.0, 762.0)",,"('bar', 0.312),nan",0,691.912,0,0.14285714285714285,0.25
0,8,target,"[(351, 963), (550, 977), (1078, 359), (1089, 1002), (127, 871), (737, 186), (1103, 378), (1219, 355), (1219, 787)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 1]",[],vertical,"(890.0, 262.0)",,"('fix', 0.067)",0,708.083,0,0.125,0.25
0,9,target,"[(763, 856), (1246, 890), (1095, 531), (1249, 933), (805, 917), (853, 301), (681, 997), (776, 172), (595, 614), (556, 165), (1279, 392), (1214, 997), (262, 1006), (15, 931), (116, 54), (1147, 281), (1146, 885)]","[(1146, 885)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",[0.26666666666666666],horizontal,"(890.0, 262.0)",,"('bar', 0.276)",0,713.746,0,0.1111111111111111,0.25
0,10,catch,"[(1151, 857)]",[],[1],[],vertical,"(390.0, 262.0)",,"('fix', 0.248),nan",0,726.598,0,0.2,0.25
