block,trial,trial_type,taps_start_loc_during_fix,taps_end_loc_during_fix,taps_on_lever_during_fix,taps_on_lever_s_during_fix,bar_orientation,cue_xy,target_xy,cti,rt,acc,time,pulses
0,1,valid,"[(1099, 888)]",[],[1],[0.3833333333333333],vertical,"(390.0, 762.0)","(390.0, 762.0)",1.2166666666666666,0.347,1,1.452,1
0,2,valid,"[(1099, 888)]",[],[1],[0.3833333333333333],vertical,"(890.0, 762.0)","(890.0, 762.0)",1.3,0.343,1,7.128,1
0,3,valid,"[(1099, 888)]",[],[1],[0.36666666666666664],vertical,"(390.0, 262.0)","(390.0, 262.0)",1.55,0.332,1,12.23,1
0,4,valid,"[(1099, 888)]",[],[1],[0.7666666666666666],horizontal,"(390.0, 262.0)","(390.0, 262.0)",1.35,0.733,1,17.726,2
0,5,valid,"[(1099, 888)]",[],[1],[0.45],vertical,"(890.0, 262.0)","(890.0, 262.0)",0.5833333333333334,0.412,1,23.049,1
0,6,valid,"[(1099, 888)]",[],[1],[0.4],vertical,"(390.0, 762.0)","(390.0, 762.0)",1.4333333333333333,0.366,1,27.192,1
0,7,valid,"[(1099, 888)]",[],[1],[0.4166666666666667],horizontal,"(890.0, 262.0)","(890.0, 262.0)",0.7833333333333333,0.382,1,32.238,1
0,8,valid,"[(1099, 888)]",[],[1],[0.36666666666666664],horizontal,"(890.0, 762.0)","(890.0, 762.0)",1.6166666666666667,0.332,1,36.809,3
0,9,valid,"[(1099, 888)]",[],[1],[0.3333333333333333],horizontal,"(890.0, 262.0)","(890.0, 262.0)",0.9,0.294,1,41.903,1
0,10,valid,"[(1099, 888)]",[],[1],[0.4],vertical,"(890.0, 762.0)","(890.0, 762.0)",0.7833333333333333,0.364,1,46.473,1
0,11,valid,"[(1099, 888)]",[],[1],[0.3833333333333333],vertical,"(390.0, 262.0)","(390.0, 262.0)",1.7,0.349,1,51.291,1
0,12,valid,"[(1099, 888)]",[],[1],[0.3833333333333333],vertical,"(890.0, 762.0)","(890.0, 762.0)",0.7333333333333333,0.348,1,57.088,2
0,13,valid,"[(1099, 888)]",[],[1],[0.35],horizontal,"(890.0, 262.0)","(890.0, 262.0)",1.4833333333333334,0.313,1,61.313,1
0,14,valid,"[(1099, 888)]",[],[1],[0.4166666666666667],vertical,"(390.0, 762.0)","(390.0, 762.0)",1.6166666666666667,0.377,1,66.152,1
0,15,valid,"[(1099, 888)]",[],[1],[0.35],vertical,"(890.0, 262.0)","(890.0, 262.0)",0.8333333333333334,0.313,1,71.171,1
0,16,valid,"[(1099, 888)]",[],[1],[0.4166666666666667],vertical,"(890.0, 262.0)","(890.0, 262.0)",1.1166666666666667,0.38,1,75.499,3
0,17,invalid_adjacent_other_bar,"[(1099, 888)]",[],[1],[0.5833333333333334],vertical,"(390.0, 762.0)","(890.0, 762.0)",0.7166666666666667,0.552,1,81.283,1
