block,trial,trial_type,taps_start_loc_during_fix,taps_end_loc_during_fix,taps_on_lever_during_fix,taps_on_lever_s_during_fix,bar_orientation,target_xy,cti,rt,acc,time,pulses,fa_rate_recent100
0,1,catch,"[(1078, 886)]",[],[1],[],horizontal,"(890.0, 762.0)",1.7,nan,1,0.137,1,0.0
0,2,valid,"[(1078, 886)]",[],[1],[0.35],horizontal,"(390.0, 262.0)",0.55,0.311,1,5.451,1,0.0
0,3,valid,"[(1078, 886)]",[],[1],[0.4166666666666667],vertical,"(390.0, 762.0)",1.2333333333333334,0.381,1,9.854,1,0.0
0,4,invalid_same_bar,"[(1078, 886)]",[],[1],[0.43333333333333335],horizontal,"(390.0, 762.0)",0.5166666666666666,0.395,1,15.216,2,0.0
0,5,valid,"[(1078, 886)]",[],[1],[0.36666666666666664],horizontal,"(390.0, 762.0)",0.5666666666666667,0.33,1,19.562,2,0.0
0,6,valid,"[(1078, 886)]",[],[1],[0.35],vertical,"(390.0, 262.0)",0.5166666666666666,0.315,1,24.168,2,0.0
0,7,invalid_same_bar,"[(1078, 886)]",[],[1],[0.3833333333333333],horizontal,"(390.0, 262.0)",1.0333333333333332,0.35,1,28.885,3,0.0
0,8,valid,"[(1078, 886)]",[],[1],[0.4666666666666667],vertical,"(890.0, 762.0)",0.35,0.435,1,33.467,3,0.0
0,9,catch,"[(1078, 886)]",[],[1],[],vertical,"(890.0, 762.0)",1.7,nan,1,37.51,3,0.0
0,10,invalid_adjacent_other_bar,"[(1078, 886)]",[],[1],[0.3833333333333333],horizontal,"(890.0, 262.0)",0.5166666666666666,0.348,1,42.67,3,0.0
