block,trial,trial_type,taps_start_loc_during_fix,taps_end_loc_during_fix,taps_on_lever_during_fix,taps_on_lever_s_during_fix,bar_orientation,target_xy,cti,rt,acc,time,pulses,fa_rate_recent100,actual_invalid_type
0,1,valid,"[(1128, 808)]",[],[1],[0.5],vertical,"(390.0, 262.0)",0.75,0.459,1,0.498,1,0.0,same
0,2,valid,"[(1123, 829)]",[],[1],[0.45],vertical,"(890.0, 762.0)",0.8833333333333333,0.41,1,7.786,1,0.0,same
0,3,valid,"[(1135, 772)]",[],[1],[0.4666666666666667],horizontal,"(390.0, 262.0)",1.3666666666666667,0.434,1,306.314,1,0.0,same
0,4,valid,"[(1137, 782)]",[],[1],[0.6166666666666667],horizontal,"(390.0, 762.0)",0.5333333333333333,0.585,1,311.84,2,0.0,same
0,5,catch,"[(1154, 791)]",[],[1],[],vertical,"(390.0, 262.0)",,"('cti', 1.478),nan",0,316.921,0,0.2,same
0,6,valid,"[(1095, 802)]",[],[1],[0.7166666666666667],vertical,"(890.0, 762.0)",1.25,0.685,1,321.52,1,0.16666666666666666,same
0,7,catch,"[(1133, 788)]",[],[1],[],horizontal,"(390.0, 762.0)",1.7,nan,1,339.546,1,0.14285714285714285,same
0,8,valid,"[(1146, 813)]",[],[1],[0.7666666666666666],vertical,"(390.0, 262.0)",0.8666666666666667,0.719,1,344.373,1,0.125,same
0,9,catch,"[(1170, 778)]",[],[1],[],horizontal,"(390.0, 762.0)",1.7,nan,1,349.124,2,0.1111111111111111,same
0,10,invalid_same_bar,"[(1164, 787)]",[],[1],[0.48333333333333334],horizontal,"(890.0, 762.0)",1.45,0.441,1,354.51,2,0.1,same
0,11,valid,"[(1179, 788)]",[],[1],[0.5666666666666667],vertical,"(390.0, 262.0)",0.3833333333333333,0.529,1,360.225,2,0.09090909090909091,same
0,12,valid,"[(1145, 769)]",[],[1],[0.85],horizontal,"(890.0, 762.0)",1.2,nan,0,365.25,0,0.08333333333333333,same
0,13,valid,"[(1149, 775)]",[],[1],[0.48333333333333334],horizontal,"(390.0, 262.0)",0.7666666666666666,0.445,1,369.963,1,0.07692307692307693,same
0,14,valid,"[(1176, 791)]",[],[1],[0.85],vertical,"(890.0, 762.0)",1.05,nan,0,374.596,0,0.07142857142857142,same
0,15,catch,"[(1141, 763)]",[],[1],[],vertical,"(890.0, 762.0)",1.7,nan,1,379.43,1,0.06666666666666667,same
0,16,valid,"[(1139, 782)]",[],[1],[0.5666666666666667],vertical,"(390.0, 262.0)",0.6833333333333333,0.526,1,384.864,1,0.0625,same
0,17,valid,"[(1133, 766)]",[],[1],[0.5166666666666666],vertical,"(890.0, 762.0)",1.2333333333333334,0.478,1,389.595,1,0.058823529411764705,same
0,18,invalid_same_bar,"[(1145, 793)]",[],[1],[0.3],vertical,"(390.0, 262.0)",1.1166666666666667,0.261,1,394.646,2,0.05555555555555555,same
0,19,catch,"[(1165, 783)]",[],[1],[],vertical,"(890.0, 262.0)",1.7,nan,1,399.879,2,0.05263157894736842,same
0,20,valid,"[(1152, 786)]",[],[1],[0.5166666666666666],horizontal,"(390.0, 262.0)",1.0333333333333332,0.476,1,405.399,2,0.05,same
0,21,catch,"[(1153, 792)]",[],[1],[],vertical,"(890.0, 262.0)",1.7,nan,1,411.132,3,0.047619047619047616,same
0,22,catch,"[(1170, 783)]",[],[1],[],vertical,"(390.0, 762.0)",1.7,nan,1,416.779,3,0.045454545454545456,same
0,23,valid,"[(1175, 812)]",[],[1],[0.5333333333333333],horizontal,"(390.0, 762.0)",0.9,0.495,1,423.245,3,0.043478260869565216,same
0,24,valid,"[(1179, 799)]",[],[1],[0.48333333333333334],horizontal,"(890.0, 762.0)",0.7333333333333333,0.445,1,429.112,3,0.041666666666666664,same
